id,number,group,name,brand,category,type,is_defective,is_favorite
resource-0400-tal,0400-TAL-,TAL,MASCHIO FREES WB250,MASCHIO,werktuig,C250 MASCIO,false,false
resource-0399-trl,0399-TRL-,TRL,LANDBOUWTRACTOR CASE IH Puma 165CVX,CASE IH,machine,CVX 165,false,false
resource-0397-kra,0397-KRA-,KRA,GRAAFKRAAN 13 TON STAALRUPS,CASE,machine,CASE CX 130 D,false,false
resource-0396-las,0396-LAS-,LAS,HELLINGSLASER+ONTVANGER,SPECTRA,machine,HELLINGS SPECTRA GL422N,false,false
resource-0395-vcb,0395-VCB-,VCB,GESLOTEN CAMIONET DUBBEL CAB B,FIAT,voertuig,DUCATO CREWCAB 35 LH2 2.3 JTD 130 E6,false,false
resource-0392-tal,0392-TAL-,TAL,kilverbord lasergestuurd mecos inclusief 2 ontvangers getrokken en of gedragen,MECOS,machine,Mekos kilver,false,false
resource-0391-tma,0391-TMA-,TMA,Klepelmaaier werkbreedte 280 cm met sideschift,Masio,werktuig,klepelmaaier Mascio 280cm,false,false
resource-0389-trl,0389-TRL-,TRL,LANDBOUWTRAKTOR FARMALL 95 PK + FL,CASE IH,machine,FARMALL 95U,false,false
resource-0389-hst,0389-HST-,HST,Frontaftakas gemonteerd op 0389 TRL,,machine,Kit Frontaftakas,false,false
resource-0388-tal,0388 TAL,TAL,Versnipperaar TV2026P,Van Dale,machine,Versnipperraar TV2026P,false,false
resource-0383-tal,0383-TAL-,TAL,WIEDEG TROOSTWIJK,troostwijk,machine,Jacobs WE180 wiedeg,false,false
resource-0381-mr3,0381-MR3-,MR3,3 Delige rotatieve maaier 350 cm werkbreedte,John Deere,werktuig,Wam 1600 turbo,false,false
resource-0380-vpw,0380-VPW-,VPW,AUDI A6 ALLROAD FRANS,AUDI,voertuig,A6 ALLROAD QUATTRO,false,false
resource-0374-tma,0374-TMA-,TMA,GEDRAGEN ROTATIEVE ROLLENMAAIER WB 240 cm,MAJOR,werktuig,MJ 70-240 CM rOLLER MAAIER,false,false
resource-0372-kmb,0372-KMB,KMB,HANDMAAIER SABO 54 VARIO,Sabo,werktuig,Grasmaaier Sabo 54 Vario,false,false
resource-0371-vgo,0371-VGO-,VGO,GATOR 855D 4X4,JOHN DEERE,voertuig,GATOR XUV 855 D 4X4,false,false
resource-0369-val,0369-VAL-,VAL,AANHANGWAGEN,DELVAN,aanhanger,Aanhangwagen + afdekzeil,false,false
resource-0359-whm,0359-WHM-,WHM,HEFTRUCK ACCU 2 TON,TOYOTA,machine,Forklift,false,false
resource-0355-trc,0355-TRC-,TRC,BUNKERREAKE GROOMMASTER,JACOBSEN,machine,BUNKERREEK,false,false
resource-0347-trc,0347-TRC-,TRC,COMPAKT TRAKTOR 50PK BOOMER,NEW HOLLAND,machine,BOOMER 50 HST,false,false
resource-0344-trc,0344-TRC-,TRC,COMPAKT TRAKTOR 3720 + CAB,JOHN DEERE,machine,3720 HST+CAB,false,false
resource-0343-tdu,0343-TDU-,TDU,ZOCON KIPPER 4.5 TON,ZOCON,voertuig,ZOCON KIPPER 4.5 TON,false,false
resource-0340-mc5,0340-MC5-,MC5,5 Delige cylindermaaier 350 cm werkbreedte jumbo,JOHN DEERE,werktuig,1905 4WD,false,false
resource-0338-vcb,0338-VCB-,VCB,Gesloten camionet B,FIAT,voertuig,"DUCATO MY 40 L-H 3,0 180 E5",false,false
resource-0337-trc,0337-TRC-,TRC,COMPAKT TRAKTOR 3720 + FL,JOHN DEERE,machine,3720 HST+FL,false,false
resource-0331-kmt,0331-KMT-,KMT,BOSMAAIER,,werktuig,,false,false
resource-0330-kme,0330-KME-,KME,ELEKTRICHE HAMER PKX7 PLUS TOEBEHOREN,DUSS,machine,PKX7,false,false
resource-0327-trb,0327-TRB-,TRB,AHLMAN LADER AZ45 V8,AHLMAN,machine,AZ45e ZWENKLADER,false,false
resource-0324-tdo,0324-TDO-,TDO,GEDRAGEN DOORZAAIMACHINE BLEC,BLEC,machine,MULTI SEEDER,false,false
